"head"	"genomeSize"	"description"
"BACT_1611"	665445	"Mycoplasma hominis, complete genome"
"BACT_1612"	4145260	"Nitrosococcus halophilus Nc4 plasmid pNHAL01, complete sequence"
"BACT_1613"	3373286	"Nitrosococcus watsoni C-113 plasmid pNWAT02, complete sequence"
"BACT_1614"	2051896	"Olsenella uli DSM 7084 chromosome, complete genome"
"BACT_1615"	4690298	"Pantoea ananatis LMG 20103 chromosome, complete genome"
"BACT_1616"	6196199	"Pirellula staleyi DSM 6068, complete genome"
"BACT_1617"	3619559	"Prevotella ruminicola 23 chromosome, complete genome"
"BACT_1618"	2495334	"Propionibacterium acnes SK137 chromosome, complete genome"
"BACT_1619"	2616384	"Propionibacterium freudenreichii subsp. shermanii CIRM-BIA1, complete genome"
"BACT_161"	6489024	"Bacillus thuringiensis serovar monterrey BGSC 4AJ1 chromosome, whole genome shotgun sequence"
"BACT_1620"	5580762	"Ralstonia solanacearum CFBP2957 plasmid RCFBPv3_mp, complete sequence"
"BACT_1621"	5618429	"Ralstonia solanacearum PSI07, complete genome"
"BACT_1622"	3871920	"Rhodobacter capsulatus SB 1003 chromosome, complete genome"
"BACT_1623"	3386737	"Rhodothermus marinus DSM 4252, complete genome"
"BACT_1624"	2264603	"Rothia mucilaginosa DY-18, complete genome"
"BACT_1625"	952761	"Ruegeria sp. TM1040 plasmid unnamed, complete sequence"
"BACT_1626"	3832918	"Salinibacter ruber plasmid pSR56, complete sequence"
"BACT_1627"	3157527	"Segniliparus rotundus DSM 44985 chromosome, complete genome"
"BACT_1628"	4962103	"Shewanella violacea DSS12, complete genome"
"BACT_162"	6037513	"Bacillus thuringiensis serovar pakistani str. T13001 chromosome, whole genome shotgun sequence"
"BACT_1630"	4424862	"Sphingobium japonicum UT26S plasmid pUT1, complete sequence"
"BACT_1631"	4653970	"Spirochaeta smaragdinae DSM 11293 chromosome, complete genome"
"BACT_1634"	2824404	"Staphylococcus aureus subsp. aureus ED98, complete genome"
"BACT_1635"	2658366	"Staphylococcus lugdunensis HKU09-01 chromosome, complete genome"
"BACT_1636"	4765023	"Starkeya novella DSM 506 chromosome, complete genome"
"BACT_1637"	2350911	"Streptococcus gallolyticus UCN34, complete genome"
"BACT_1638"	2146611	"Streptococcus mitis B6, complete genome"
"BACT_1639"	2013587	"Streptococcus mutans NN2025, complete genome"
"BACT_163"	6012975	"Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1 contig00161, whole genome shotgun sequence"
"BACT_1640"	10148695	"Streptomyces scabiei 87.22, complete genome"
"BACT_1641"	2405559	"Syntrophothermus lipocalidus DSM 12680 chromosome, complete genome"
"BACT_1642"	3157416	"Thermincola sp. JR, complete genome"
"BACT_1643"	4189976	"Thermobispora bispora DSM 43833 chromosome, complete genome"
"BACT_1644"	1500577	"Thermocrinis albus DSM 14484 chromosome, complete genome"
"BACT_1645"	2280035	"Thermosediminibacter oceani DSM 16646 chromosome, complete genome"
"BACT_1646"	2985056	"Thioalkalivibrio sp. K90mix chromosome, complete genome"
"BACT_1647"	3260398	"Truepera radiovictrix DSM 17093 chromosome, complete genome"
"BACT_1648"	2131905	"Waddlia chondrophila WSU 86-1044 chromosome, complete genome"
"BACT_1649"	3768695	"Xanthomonas albilineans chromosome, complete genome"
"BACT_164"	6002603	"Bacillus thuringiensis serovar pulsiensis BGSC 4CC1 chromosome, whole genome shotgun sequence"
"BACT_1650"	4225498	"Xenorhabdus bovienii SS-2004, complete genome"
"BACT_1651"	4587917	"Xenorhabdus nematophila ATCC 19061 plasmid XNC1_p, complete sequence"
"BACT_1652"	4725788	"Yersinia pestis Z176003 plasmid pCD1, complete sequence"
"BACT_1653"	5128187	"Zunongwangia profunda SM-A87 chromosome, complete genome"
"BACT_1654"	3193878	"Erysipelotrichaceae bacterium 5_2_54FAA genomic scaffold supercont1.1, whole genome shotgun sequence"
"BACT_1655"	3343441	"Brucella abortus bv. 5 str. B3196 genomic scaffold supercont1.1, whole genome shotgun sequence"
"BACT_1656"	4152543	"Acinetobacter sp. DR1 chromosome, complete genome"
"BACT_1657"	8212805	"Saccharopolyspora erythraea NRRL 2338 chromosome, complete genome"
"BACT_1658"	1555002	"Hydrogenobaculum sp. SN ctg00011, whole genome shotgun sequence"
"BACT_1659"	3978576	"Bacillus subtilis subsp. spizizenii ATCC 6633 contig00055, whole genome shotgun sequence"
"BACT_165"	6107746	"Bacillus thuringiensis serovar sotto str. T04001 chromosome, whole genome shotgun sequence"
"BACT_166"	6298523	"Bacillus thuringiensis serovar thuringiensis str. T01001 contig00090, whole genome shotgun sequence"
"BACT_167"	5625906	"Bacillus thuringiensis serovar tochigiensis BGSC 4Y1 chromosome, whole genome shotgun sequence"
"BACT_168"	5313030	"Bacillus thuringiensis str. Al Hakam plasmid pALH1, complete sequence"
"BACT_169"	5872743	"Bacillus weihenstephanensis KBAB4 plasmid pBWB403, complete sequence"
"BACT_16"	5352772	"Acidovorax avenae subsp. citrulli AAC00-1, complete genome"
"BACT_170"	7414222	"Bacterium Ellin514 strain Ellin514 ctg199, whole genome shotgun sequence"
"BACT_171"	4564814	"Bacteroides caccae ATCC 43185 B_caccae-MSIQ_Cont1321, whole genome shotgun sequence"
"BACT_172"	4241853	"Bacteroides capillosus ATCC 29799 B_capillosus-2.0.1_Cont12.1, whole genome shotgun sequence"
"BACT_173"	6726268	"Bacteroides cellulosilyticus DSM 14838 B_cellulosilyticus-1.0_Cont0.10, whole genome shotgun sequence"
"BACT_174"	4295617	"Bacteroides coprocola DSM 17136 B_coprocola-2.0.1_Cont104.1, whole genome shotgun sequence"
"BACT_175"	3855443	"Bacteroides coprophilus DSM 18228 B_coprophilus-1.0_Cont0.1, whole genome shotgun sequence"
"BACT_176"	5487768	"Bacteroides dorei DSM 17855 B_dorei-1.0_Cont0.1, whole genome shotgun sequence"
"BACT_177"	4157980	"Bacteroides eggerthii DSM 20697 B_eggerthii-1.0_Cont0.1, whole genome shotgun sequence"
"BACT_178"	4881901	"Bacteroides finegoldii DSM 17565 B_finegoldii-1.0.1_Cont0.1, whole genome shotgun sequence"
"BACT_179"	5310990	"Bacteroides fragilis YCH46 plasmid pBFY46, complete sequence"
"BACT_17"	4842094	"Acidovorax delafieldii 2AN ctg00913, whole genome shotgun sequence"
"BACT_180"	6052596	"Bacteroides intestinalis DSM 17393 B_intestinalis-2.0.1_Cont552, whole genome shotgun sequence"
"BACT_181"	6463169	"Bacteroides ovatus ATCC 8483 B_ovatus-MSIQ_Cont50, whole genome shotgun sequence"
"BACT_182"	3025526	"Bacteroides pectinophilus ATCC 43243 B_pectinophilus-1.0.1_Cont2452.1, whole genome shotgun sequence"
"BACT_183"	4421324	"Bacteroides plebeius DSM 17135 B_plebeius-2.0.1_Cont355, whole genome shotgun sequence"
"BACT_184"	6695222	"Bacteroides sp. 1_1_6 cont1.263, whole genome shotgun sequence"
"BACT_185"	10446000	"Bacteroides sp. 2_1_16 cont1.64, whole genome shotgun sequence"
"BACT_186"	5912968	"Bacteroides sp. 2_1_22 cont1.133, whole genome shotgun sequence"
"BACT_187"	4891699	"Bacteroides sp. 2_1_33B cont1.68, whole genome shotgun sequence"
"BACT_188"	5137215	"Bacteroides sp. 2_1_7 NZ_ABZY01000001, whole genome shotgun sequence"
"BACT_189"	10802660	"Bacteroides sp. 3_1_33FAA cont1.99, whole genome shotgun sequence"
"BACT_18"	4585154	"Acidovorax sp. JS42 plasmid pAOVO01, complete sequence"
"BACT_190"	5131029	"Bacteroides sp. 3_2_5 cont1.115, whole genome shotgun sequence"
"BACT_191"	5344145	"Bacteroides sp. 4_3_47FAA cont1.212, whole genome shotgun sequence"
"BACT_192"	17733459	"Bacteroides sp. D2 NZ_ACGA01000001, whole genome shotgun sequence"
"BACT_193"	5501690	"Bacteroides dorei 5_1_36/D4 strain D4 cont1.111, whole genome shotgun sequence"
"BACT_194"	4009229	"Bacteroides stercoris ATCC 43183 B_stercoris-2.0.1_Cont703, whole genome shotgun sequence"
"BACT_195"	6293399	"Bacteroides thetaiotaomicron VPI-5482, complete genome"
"BACT_196"	5163189	"Bacteroides vulgatus ATCC 8482, complete genome"
"BACT_197"	1445021	"Bartonella bacilliformis KC583, complete genome"
"BACT_198"	2369520	"Bartonella grahamii as4aup, complete genome"
"BACT_199"	1931047	"Bartonella henselae str. Houston-1, complete genome"
"BACT_19"	4059242	"Acinetobacter baumannii AB0057 plasmid pAB0057, complete sequence"
"BACT_1"	5486145	"'Nostoc azollae' 0708 chromosome, complete genome"
"BACT_200"	1581384	"Bartonella quintana str. Toulouse, complete genome"
"BACT_201"	2642404	"Bartonella tribocorum CIP 105476 plasmid pBT01, complete sequence"
"BACT_202"	686194	"Baumannia cicadellinicola str. Hc (Homalodisca coagulata), complete genome"
"BACT_203"	3782950	"Bdellovibrio bacteriovorus HD100, complete genome"
"BACT_204"	7631539	"Beggiatoa sp. PS contig25760_5869-5881, whole genome shotgun sequence"
"BACT_205"	1334168	"Beggiatoa sp. SS Contig1082_1101-1109, whole genome shotgun sequence"
"BACT_206"	4418616	"Beijerinckia indica subsp. indica ATCC 9039 plasmid pBIND02, complete sequence"
"BACT_207"	3527084	"Bermanella marisrubri strain RED65 1100007010788, whole genome shotgun sequence"
"BACT_208"	1332439	"Beta proteobacterium KB13 ctg_1106380163074, whole genome shotgun sequence"
"BACT_209"	4669183	"Beutenbergia cavernae DSM 12333, complete genome"
"BACT_20"	3760981	"Acinetobacter baumannii AB307-0294, complete genome"
"BACT_210"	2007108	"Bifidobacterium angulatum DSM 20098 B_angulatum-2.0.1_Cont0.10, whole genome shotgun sequence"
"BACT_211"	1938709	"Bifidobacterium animalis subsp. lactis Bl-04, complete genome"
"BACT_212"	2186140	"Bifidobacterium bifidum NCIMB 41171 NZ_ABQP01000001, whole genome shotgun sequence"
"BACT_213"	2331386	"Bifidobacterium breve DSM 20213 genomic scaffold Scfld0, whole genome shotgun sequence"
"BACT_214"	2058429	"Bifidobacterium catenulatum DSM 16992 B_catenulatum-1.0_Cont1.1, whole genome shotgun sequence"
"BACT_215"	2642081	"Bifidobacterium dentium ATCC 27678 B_dentium-2.0.1_Cont350, whole genome shotgun sequence"
"BACT_216"	2019802	"Bifidobacterium gallicum DSM 20093 NZ_ABXB03000001, whole genome shotgun sequence"
"BACT_219"	2832748	"Bifidobacterium longum subsp. infantis ATCC 15697, complete genome"
"BACT_21"	4001457	"Acinetobacter baumannii ATCC 17978 plasmid pAB1, complete sequence"
"BACT_220"	2480850	"Bifidobacterium longum subsp. infantis CCUG 52486 supercont2.1 genomic scaffold, whole genome shotgun sequence"
"BACT_221"	2304808	"Bifidobacterium pseudocatenulatum DSM 20438 B_pseudocatenulatum-1.0.1_Cont0.1, whole genome shotgun sequence"
"BACT_2222"	3284156	"Deinococcus radiodurans R1 plasmid MP1, complete sequence"
"BACT_222"	6653746	"Blastopirellula marina DSM 3645 1099463000720, whole genome shotgun sequence"
"BACT_223"	640442	"Blattabacterium sp. (Periplaneta americana) str. BPLAN plasmid pBPLAN, complete sequence"
"BACT_224"	3053221	"Blautia hansenii DSM 20583 B_hansenii-1.0.1_Cont0.1, whole genome shotgun sequence"
"BACT_225"	3565428	"Blautia hydrogenotrophica DSM 10507 R_hydrogenotrophicus-1.0_Cont0.1, whole genome shotgun sequence"
"BACT_226"	3732255	"Bordetella avium 197N, complete genome"
"BACT_227"	5339179	"Bordetella bronchiseptica RB50, complete genome"
"BACT_228"	4773551	"Bordetella parapertussis 12822, complete genome"
"BACT_229"	4086189	"Bordetella pertussis Tohama I, complete genome"
"BACT_22"	3934095	"Acinetobacter baumannii ATCC 19606 cont1.100, whole genome shotgun sequence"
"BACT_230"	5287950	"Bordetella petrii DSM 12804, complete genome"
"BACT_231"	1798358	"Borrelia burgdorferi 80a NZ_ABJU01000001, whole genome shotgun sequence"
"BACT_232"	1618891	"Borrelia duttonii Ly 44-kb linear plasmid, complete sequence"
"BACT_233"	1127440	"Borrelia garinii Far04 gcontig_1117813781226, whole genome shotgun sequence"
"BACT_234"	1230533	"Borrelia garinii pBi plasmid pseudoscaffold"
"BACT_235"	1265591	"Borrelia garinii PBr gcontig_1117824922382, whole genome shotgun sequence"
"BACT_236"	922307	"Borrelia hermsii DAH chromosome, complete genome"
"BACT_237"	1242163	"Borrelia recurrentis A1, complete genome"
"BACT_238"	917330	"Borrelia turicatae 91E135 chromosome, complete genome"
"BACT_239"	1258864	"Borrelia valaisiana VS116 chromosome, whole genome shotgun sequence"
"BACT_23"	4048735	"Acinetobacter baumannii AYE plasmid p1ABAYE, complete sequence"
"BACT_240"	3614992	"Brachybacterium faecium DSM 4810, complete genome"
"BACT_241"	3036634	"Brachyspira hyodysenteriae WA1 plasmid pBHWA1, complete sequence"
"BACT_242"	3241804	"Brachyspira murdochii DSM 12563 chromosome, complete genome"
"BACT_243"	9105828	"Bradyrhizobium japonicum USDA 110 chromosome, complete genome"
"BACT_244"	8493513	"Bradyrhizobium sp. BTAi1 plasmid pBBta01, complete sequence"
"BACT_245"	7456587	"Bradyrhizobium sp. ORS278, complete genome"
"BACT_246"	6296436	"Brevibacillus brevis NBRC 100599, complete genome"
"BACT_247"	4366969	"Brevibacterium linens BL2 NZ_AAGP01000076, whole genome shotgun sequence"
"BACT_248"	3636020	"Brevundimonas sp. BAL3 ctg_1104670152952, whole genome shotgun sequence"
"BACT_249"	3286445	"Brucella abortus bv. 1 str. 9-941 chromosome I, complete genome"
"BACT_24"	3477996	"Acinetobacter baumannii SDF plasmid p1ABSDF, complete sequence"
"BACT_250"	3259693	"Brucella abortus bv. 3 str. Tulya cont1.60, whole genome shotgun sequence"
"BACT_251"	3283578	"Brucella ceti M644/93/1 cont1.104, whole genome shotgun sequence"
"BACT_252"	3389269	"Brucella ceti str. Cudo chromosome I VBI00081_1, whole genome shotgun sequence"
"BACT_253"	3311219	"Brucella melitensis ATCC 23457 chromosome II, complete genome"
"BACT_254"	3279914	"Brucella melitensis bv. 3 str. Ether cont1.105, whole genome shotgun sequence"
"BACT_255"	3299059	"Brucella neotomae 5K33 cont1.68, whole genome shotgun sequence"
"BACT_256"	3347022	"Brucella pinnipedialis B2/94 cont1.94, whole genome shotgun sequence"
"BACT_257"	3290536	"Brucella sp. F5/99 cont1.85, whole genome shotgun sequence"
"BACT_258"	3285085	"Brucella suis bv. 4 str. 40 cont1.44, whole genome shotgun sequence"
"BACT_259"	4548960	"Bryantella formatexigens DSM 14469 B_formatexigens-1.0.1_Cont0.1, whole genome shotgun sequence"
"BACT_25"	3849663	"Acinetobacter calcoaceticus RUH2202 cont1.81, whole genome shotgun sequence"
"BACT_260"	615980	"Buchnera aphidicola str. Bp (Baizongia pistaciae) chromosome, complete genome"
"BACT_261"	416380	"Buchnera aphidicola str. Cc (Cinara cedri), complete genome"
"BACT_262"	642011	"Buchnera aphidicola str. LSR1 (Acyrthosiphon pisum) NZ_ACFK01000001, whole genome shotgun sequence"
"BACT_263"	641454	"Buchnera aphidicola str. Sg (Schizaphis graminum), complete genome"
"BACT_264"	7689995	"Burkholderia ambifaria IOP40-10 ctg106, whole genome shotgun sequence"
"BACT_265"	7642536	"Burkholderia ambifaria MC40-6 chromosome 1, complete genome"
"BACT_266"	7855467	"Burkholderia ambifaria MEX-5 ctg00320, whole genome shotgun sequence"
"BACT_267"	8055782	"Burkholderia cenocepacia J2315 chromosome 3, complete genome"
"BACT_268"	7971389	"Burkholderia cenocepacia MC0-3 chromosome 1, complete genome"
"BACT_269"	6247594	"Burkholderia dolosa AUO158 cont1.233, whole genome shotgun sequence"
"BACT_26"	3561713	"Acinetobacter johnsonii SH046 cont1.188, whole genome shotgun sequence"
"BACT_270"	7477263	"Burkholderia graminis C4D1M ctg40, whole genome shotgun sequence"
"BACT_271"	5933783	"Burkholderia mallei ATCC 10399 ctg_1047276661926, whole genome shotgun sequence"
"BACT_272"	7176232	"Burkholderia multivorans ATCC 17616 plasmid pBMUL01, complete sequence"
"BACT_273"	7047157	"Burkholderia oklahomensis EO147 NZ_ABBF01000001, whole genome shotgun sequence"
"BACT_274"	7388856	"Burkholderia pseudomallei S13 ctg_1047279025382, whole genome shotgun sequence"
"BACT_275"	8676277	"Burkholderia sp. 383 chromosome 3, complete genome"
"BACT_276"	7893354	"Burkholderia sp. H160 ctg00250, whole genome shotgun sequence"
"BACT_277"	6555995	"Burkholderia thailandensis Bt4 NZ_ABBH01000001, whole genome shotgun sequence"
"BACT_278"	6956166	"Burkholderia thailandensis MSMB43 NZ_ABBM01000001, whole genome shotgun sequence"
"BACT_279"	6932532	"Burkholderia ubonensis Bu NZ_ABBE01000001, whole genome shotgun sequence"
"BACT_27"	3338932	"Acinetobacter junii SH205 cont1.176, whole genome shotgun sequence"
"BACT_280"	8391070	"Burkholderia vietnamiensis G4 plasmid pBVIE05, complete sequence"
"BACT_281"	9731138	"Burkholderia xenovorans LB400 chromosome 2, complete genome"
"BACT_282"	2482791	"Butyrivibrio crossotus DSM 2876 NZ_ABWN01000001, whole genome shotgun sequence"
"BACT_283"	2970275	"Caldicellulosiruptor saccharolyticus DSM 8903, complete genome"
"BACT_284"	1663618	"Caminibacter mediatlanticus TB-2 1103207000283, whole genome shotgun sequence"
"BACT_285"	1869552	"Campylobacter coli RM2228 plasmid pCC2228-1, complete sequence"
"BACT_286"	2099413	"Campylobacter concisus 13826 plasmid pCCON31, complete sequence"
"BACT_287"	1971264	"Campylobacter curvus 525.92, complete genome"
"BACT_288"	2255573	"Campylobacter gracilis RM3268 contig00052, whole genome shotgun sequence"
"BACT_289"	1714951	"Campylobacter hominis ATCC BAA-381 plasmid pCH4, complete sequence"
"BACT_28"	3347001	"Acinetobacter lwoffii SH145 cont1.250, whole genome shotgun sequence"
"BACT_290"	1777831	"Campylobacter jejuni RM1221, complete genome"
"BACT_291"	1845106	"Campylobacter jejuni subsp. doylei 269.97, complete genome"
"BACT_292"	118623	"Campylobacter jejuni subsp. jejuni BH-01-0142 cBHLOS, whole genome shotgun sequence"
"BACT_293"	1694788	"Campylobacter jejuni subsp. jejuni HB93-13 c_jejuni_subsp_jejuni_hb93_13_42, whole genome shotgun sequence"
"BACT_294"	1641481	"Campylobacter jejuni subsp. jejuni NCTC 11168, complete genome"
"BACT_295"	1571661	"Campylobacter lari RM2100 megaplasmid pCL2100, complete sequence"
"BACT_296"	2513107	"Campylobacter rectus RM3267 contig00003, whole genome shotgun sequence"
"BACT_297"	2072007	"Campylobacter showae RM3277 contig00122, whole genome shotgun sequence"
"BACT_298"	1773834	"Campylobacter upsaliensis RM3195 cont169, whole genome shotgun sequence"
"BACT_299"	2939048	"Campylobacterales bacterium GD 1 ctg_1106149034605, whole genome shotgun sequence"
"BACT_29"	3283705	"Acinetobacter radioresistens SK82 contig00035, whole genome shotgun sequence"
"BACT_2"	7453649	"Burkholderia pseudomallei 305, whole genome shotgun sequence"
"BACT_3001"	3158014	"Acinetobacter radioresistens SH164 genomic scaffold supercont1.18, whole genome shotgun sequence"
"BACT_3004"	5530115	"Bacteroides fragilis 3_1_12 plasmid unnamed supercont1.33 genomic scaffold, whole genome shotgun sequence"
"BACT_3005"	7101224	"Bacteroides sp. 2_2_4 plasmid unnamed supercont1.64 plasmid scaffold, whole genome shotgun sequence"
"BACT_3006"	5622644	"Bacteroides sp. 9_1_42FAA plasmid unnamed supercont1.50 plasmid scaffold, whole genome shotgun sequence"
"BACT_3007"	5986762	"Bacteroides sp. D1 plasmid unnamed supercont1.58 plasmid scaffold, whole genome shotgun sequence"
"BACT_3008"	9434414	"Bacteroides uniformis ATCC 8492 B_uniformis-3.0.1_Cont145, whole genome shotgun sequence"
"BACT_300"	679415	"Candidate division TM7 genomosp. GTL1 ctg1, whole genome shotgun sequence"
"BACT_3010"	2113539	"Bacteroidetes oral taxon 274 str. F0058 genomic scaffold supercont1.10, whole genome shotgun sequence"
"BACT_3011"	4762920	"Bifidobacterium adolescentis L2-32 B_adolescentis_L232-1.0.1_Cont10.1, whole genome shotgun sequence"
"BACT_3012"	2645781	"Bifidobacterium dentium ATCC 27679 genomic scaffold SCAFFOLD10, whole genome shotgun sequence"
"BACT_3013"	0	"Bifidobacterium dentium JCVIHMP022 whole genome shotgun sequencing project"
"BACT_3014"	2396359	"Bifidobacterium longum subsp. infantis ATCC 55813 genomic scaffold SCAFFOLD114, whole genome shotgun sequence"
"BACT_3015"	2655653	"Burkholderiales bacterium 1_1_47 genomic scaffold supercont1.37, whole genome shotgun sequence"
"BACT_3016"	1705064	"Campylobacter coli JV20 genomic scaffold SCAFFOLD11, whole genome shotgun sequence"
"BACT_3017"	1809746	"Clostridiales genomosp. BVAB3 str. UPII9-5, complete genome"
"BACT_3018"	2465636	"Corynebacterium accolens ATCC 49726 genomic scaffold SCAFFOLD35, whole genome shotgun sequence"
"BACT_301"	2864364	"Candidate division TM7 single-cell isolate TM7a NZ_ABBV01000001, whole genome shotgun sequence"
"BACT_3020"	6303259	"Corynebacterium efficiens YS-314 contig00001, whole genome shotgun sequence"
"BACT_3021"	5593862	"Corynebacterium glucuronolyticum ATCC 51867 contig00001, whole genome shotgun sequence"
"BACT_3022"	2492821	"Corynebacterium jeikeium ATCC 43734 genomic scaffold SCAFFOLD21, whole genome shotgun sequence"
"BACT_3024"	3725567	"Desulfovibrio sp. 3_1_syn3 genomic scaffold supercont1.58, whole genome shotgun sequence"
"BACT_3026"	2967295	"Enterococcus faecalis TX0109 genomic scaffold Scfld1163, whole genome shotgun sequence"
"BACT_3027"	3124594	"Enterococcus faecalis TX0411 genomic scaffold Scfld505, whole genome shotgun sequence"
"BACT_3028"	2987324	"Enterococcus faecalis TX0855 genomic scaffold Scfld829, whole genome shotgun sequence"
"BACT_3029"	3061766	"Enterococcus faecalis TX0860 genomic scaffold Scfld433, whole genome shotgun sequence"
"BACT_302"	112753	"Candidate division TM7 single-cell isolate TM7b NZ_ABBW01000001, whole genome shotgun sequence"
"BACT_3030"	3121432	"Enterococcus faecalis TX2134 genomic scaffold Scfld419, whole genome shotgun sequence"
"BACT_3031"	3187019	"Enterococcus faecalis TX4248 genomic scaffold Scfld501, whole genome shotgun sequence"
"BACT_3032"	2974288	"Enterococcus faecalis TX1322 genomic scaffold SCAFFOLD40, whole genome shotgun sequence"
"BACT_3033"	4839683	"Escherichia coli SE15 DNA, complete genome"
"BACT_3034"	2235585	"Escherichia sp. 1_1_43 genomic scaffold supercont1.43, whole genome shotgun sequence"
"BACT_3035"	2511030	"Eubacterium yurii subsp. margaretiae ATCC 43715 genomic scaffold SCAFFOLD14, whole genome shotgun sequence"
"BACT_3036"	1986740	"Finegoldia magna ATCC 29328 DNA, complete genome"
"BACT_3037"	3832602	"Finegoldia magna ATCC 53516 chromosome, whole genome shotgun sequence"
"BACT_303"	474179	"Candidate division TM7 single-cell isolate TM7c NZ_ABBX01000001, whole genome shotgun sequence"
"BACT_3041"	2020500	"Lactobacillus acidophilus ATCC 4796 genomic scaffold SCAFFOLD38, whole genome shotgun sequence"
"BACT_3042"	3144656	"Lactobacillus brevis subsp. gravesensis ATCC 27305 genomic scaffold SCAFFOLD106, whole genome shotgun sequence"
"BACT_3043"	2305246	"Lactobacillus crispatus 125-2-CHN genomic scaffold supercont1.30, whole genome shotgun sequence"
"BACT_3045"	2221719	"Lactobacillus crispatus JV-V01 genomic scaffold SCAFFOLD86, whole genome shotgun sequence"
"BACT_3046"	2311882	"Lactobacillus crispatus MV-1A-US genomic scaffold supercont1.45, whole genome shotgun sequence"
"BACT_3048"	1867005	"Lactobacillus fermentum ATCC 14931 genomic scaffold SCAFFOLD74, whole genome shotgun sequence"
"BACT_3049"	3829249	"Lactobacillus helveticus DSM 20075 contig00001, whole genome shotgun sequence"
"BACT_304"	5306133	"Candidatus Accumulibacter phosphatis clade IIA str. UW-1 plasmid pAph02, complete sequence"
"BACT_3055"	1648660	"Lactobacillus jensenii 115-3-CHN genomic scaffold supercont1.18, whole genome shotgun sequence"
"BACT_3056"	3209264	"Lactobacillus jensenii JV-V16 chromosome, whole genome shotgun sequence"
"BACT_3057"	1780499	"Lactobacillus johnsonii ATCC 33200 genomic scaffold SCAFFOLD32, whole genome shotgun sequence"
"BACT_3058"	2991737	"Lactobacillus paracasei subsp. paracasei ATCC 25302 genomic scaffold SCAFFOLD73, whole genome shotgun sequence"
"BACT_3059"	3212261	"Lactobacillus plantarum subsp. plantarum ATCC 14917 genomic scaffold SCAFFOLD9, whole genome shotgun sequence"
"BACT_305"	1884364	"Candidatus Amoebophilus asiaticus 5a2 chromosome, complete genome"
"BACT_3060"	2107903	"Lactobacillus reuteri CF48-3A genomic scaffold SCAFFOLD92, whole genome shotgun sequence"
"BACT_3061"	3959187	"Lactobacillus reuteri MM2-3 contig00001, whole genome shotgun sequence"
"BACT_3062"	3903238	"Lactobacillus reuteri MM4-1A contig00002, whole genome shotgun sequence"
"BACT_3063"	2203235	"Lactobacillus reuteri SD2112 genomic scaffold SCAFFOLD140, whole genome shotgun sequence"
"BACT_3064"	3005051	"Lactobacillus rhamnosus ATCC 53103 DNA, complete genome"
"BACT_3065"	2017251	"Lactobacillus salivarius ATCC 11741 genomic scaffold SCAFFOLD32, whole genome shotgun sequence"
"BACT_3066"	1735074	"Leuconostoc mesenteroides subsp. cremoris ATCC 19254 genomic scaffold SCAFFOLD29, whole genome shotgun sequence"
"BACT_3068"	2152970	"Mobiluncus curtisii subsp. curtisii ATCC 35241 genomic scaffold SCAFFOLD8, whole genome shotgun sequence"
"BACT_3069"	2533633	"Mobiluncus mulieris ATCC 35239 genomic scaffold SCAFFOLD24, whole genome shotgun sequence"
"BACT_306"	1224919	"Candidatus Azobacteroides pseudotrichonymphae genomovar. CFP2 plasmid pCFPG2, complete sequence"
"BACT_3072"	2262611	"Neisseria meningitidis ATCC 13091 genomic scaffold SCAFFOLD27, whole genome shotgun sequence"
"BACT_3073"	5097411	"Paenibacillus sp. oral taxon 786 str. D14 genomic scaffold supercont1.75, whole genome shotgun sequence"
"BACT_3074"	2017988	"Pediococcus acidilactici 7_4 genomic scaffold supercont1.9, whole genome shotgun sequence"
"BACT_3075"	1942827	"Pediococcus acidilactici DSM 20284 genomic scaffold SCAFFOLD4, whole genome shotgun sequence"
"BACT_3076"	2124844	"Peptoniphilus duerdenii ATCC BAA-1640 genomic scaffold SCAFFOLD16, whole genome shotgun sequence"
"BACT_307"	705557	"Candidatus Blochmannia floridanus chromosome, complete genome"
"BACT_3080"	2559358	"Prevotella marshii DSM 16973 genomic scaffold SCAFFOLD11, whole genome shotgun sequence"
"BACT_3081"	2495334	"Propionibacterium acnes SK137, complete genome"
"BACT_3082"	4027100	"Proteus mirabilis ATCC 29906 genomic scaffold SCAFFOLD54, whole genome shotgun sequence"
"BACT_3085"	2471116	"Selenomonas sp. oral taxon 149 str. 67H29BP genomic scaffold SCAFFOLD16, whole genome shotgun sequence"
"BACT_3086"	5093512	"Sphingobacterium spiritivorum ATCC 33861 genomic scaffold SCAFFOLD11, whole genome shotgun sequence"
"BACT_3087"	2934515	"Staphylococcus aureus subsp. aureus ATCC BAA-39 genomic scaffold SCAFFOLD25, whole genome shotgun sequence"
"BACT_3088"	5799176	"Staphylococcus aureus subsp. aureus MN8 chromosome, whole genome shotgun sequence"
"BACT_3089"	5545333	"Staphylococcus aureus subsp. aureus TCH130 contig00002, whole genome shotgun sequence"
"BACT_308"	791654	"Candidatus Blochmannia pennsylvanicus str. BPEN, complete genome"
"BACT_3090"	2801996	"Staphylococcus aureus subsp. aureus TCH60 genomic scaffold SCAFFOLD31, whole genome shotgun sequence"
"BACT_3091"	2845193	"Staphylococcus aureus subsp. aureus TCH70 genomic scaffold SCAFFOLD95, whole genome shotgun sequence"
